product,Prompt Template,Original_Prompt (Example)
Integrated Client,<select measure> and <select measure> for booking location asean for dec 2024 in bar chart ,financed emission and cib pe asset for booking location asean for dec 2024 in bar chart 
Integrated Client,cib total revenue ytd for net-zero sector <member> and management product hierarchy Financing Solutions for dec 2024,cib total revenue ytd for net-zero sector AUTOMOTIVE MANUFACTURERS and management product hierarchy Financing Solutions for dec 2024
Integrated Client,cib pe asset for client segment hierarchy <member> for dec 2024,cib pe asset for client segment hierarchy financial institution for dec 2024
Integrated Client,<measure> for client segment hierarchy for Global Subsidiaries GC for dec 2024,cib pe asset for client segment hierarchy for Global Subsidiaries GC for dec 2024
Integrated Client,in-scope exposure for net zero by net-zero sector for revised fam location <member> for dec 2024 ,in-scope exposure for net zero by net-zero sector for revised fam location GCNA for dec 2024 
Integrated Client,In-scope exposure for <model> by net-zero sector for booking location gcna for dec 2024,In-scope exposure for net zero by net-zero sector for booking location gcna for dec 2024
Integrated Client,<measure> for net zero by net-zero sector for booking location CHINA for dec 2024 ,in-scope exposure for net zero by net-zero sector for booking location CHINA for dec 2024 
Integrated Client,"cib asset, in-scope exposure for net-zero by net-zero sector for <measure> <member> for dec 2024 in bar graph ","cib asset, in-scope exposure for net-zero by net-zero sector for booking location CHINA for dec 2024 in bar graph "
Integrated Client,<measure> for net zero by booking location for dec 2024,in-scope exposure for net zero by booking location for dec 2024
Integrated Client,in-scope exposure for net zero by net-zero sector for revised fam location <member> for dec 2024 ,in-scope exposure for net zero by net-zero sector for revised fam location GCNA for dec 2024 
Integrated Client,financed emission for ultimate parent location <member> for net-zerosector <member> AND <member> for Dec 2024,financed emission for ultimate parent location UNITED KINGDOM for net-zerosector OIL AND GAS for Dec 2024
Integrated Client,<measure> for ultimate parent location ASEAN for net-zero sector OIL AND GAS for Dec 2024,financed emission for ultimate parent location ASEAN for net-zero sector OIL AND GAS for Dec 2024
Integrated Client,cib total revenue ytd for net-zero sector <member> and management product hierarchy Financing Solutions for dec 2024,cib total revenue ytd for net-zero sector AUTOMOTIVE MANUFACTURERS and management product hierarchy Financing Solutions for dec 2024
Integrated Client,in-scope exposure for net zero by management product hierarchy for <period>,in-scope exposure for net zero by management product hierarchy for dec 2024
Integrated Client,cib assets for client segment hierarchy for <member> for dec 2024,cib assets for client segment hierarchy for FINANCIAL INSTITUTION for dec 2024
Integrated Client,cib assets for client segment hierarchy for Global Subsidiaries <member> for dec 2024,cib assets for client segment hierarchy for Global Subsidiaries GC for dec 2024
Net Zero Model,<measure> by net zero sector for ultimate parent location ASEAN for dec 2024,exposure by net zero sector for ultimate parent location ASEAN for dec 2024
Net Zero Model,exposure by net zero sector for revised fam location south asia for <period>,exposure by net zero sector for revised fam location south asia for dec 2024 
Net Zero Model,Exposure by net zero sector for Booking location <member> for dec 2024,Exposure by net zero sector for Booking location china for dec 2024
Net Zero Model,Show Top 10 <dimension> By <measure> For Net Zero Sector Power for 2024 in bar chart from Net zero model,Show Top 10 Ultimate Parent location By Financed Emission For Net Zero Sector Power for 2024 in bar chart from Net zero model
Net Zero Model,Show Financed Emission By Net Zero Sector <member> And <member> for period 2023 from Net zero model,Show Financed Emission By Net Zero Sector='oil And Gas' For period 2023 from Net zero model
Net Zero Model,RWA by Net Zero Sector for period <period> and <period> from Net zero model,RWA by Net Zero Sector for period 2023-12 and 2024-12 from Net zero model
Net Zero Model,compare financed emission by net zero sector in <period> versus <period>,compare financed emission by net zero sector in dec 2024 versus dec 2023
Net Zero Model,exposure by net zero sector for Ultimate Parent Location <select country> for dec 2024 ,exposure by net zero sector for Ultimate Parent Location india for dec 2024 
Net Zero Model,Exposure by <dimension> for ultimate parent location ASEAN for dec 2024,Exposure by net zero sector for ultimate parent location ASEAN for dec 2024
Sustainable Finance,<select measure> by industry and booking location asean for April 2024 ,total revenue ytd by industry and booking location asean for April 2024 
Sustainable Finance,Total revenue ytd by industry and booking location south asia for <select period>,Total revenue ytd by industry and booking location south asia for April 2024
Sustainable Finance,<measure> YTD by booking location for Sep 2025 as combination column and line,Total revenue YTD by booking location for Sep 2025 as combination column and line
Sustainable Finance,"Total revenue MTD, NII MTD and <measure> for period from Jan 2025 to Sep 2025 in line graph","Total revenue MTD, NII MTD and NFI MTD for period from Jan 2025 to Sep 2025 in line graph"
Sustainable Finance,PE assets by <dimension> for period Sep 2025 in table,PE assets by management product hierarchy for period Sep 2025 in table
Sustainable Finance,"Total revenue YTD, NII YTD, NFI YTD for client group name <member> for period from Sep 2024 to Sep 2025 in line graph","Total revenue YTD, NII YTD, NFI YTD for client group name hanwha for period from Sep 2024 to Sep 2025 in line graph"
Sustainable Finance,"Total Revenue YTD,<measure> and NFI YTD for Client Group Name HANWHA by period ","Total Revenue YTD, NII YTD and NFI YTD for Client Group Name HANWHA by period "
Sustainable Finance,Top 10 <member> as per total revenue mtd for Revised FAM Location GCNA and Feb 2025,Top 10 client name as per total revenue mtd for Revised FAM Location GCNA and Feb 2025
